Gene	BaseGeneMean	OutlierFactor	GeneMean
Gene1	0.0501083624782302	1	0.0501083624782302
Gene2	1.70314880002693	1	1.70314880002693
Gene3	60.7249100920958	1	60.7249100920958
Gene4	13.1557957003676	1	13.1557957003676
Gene5	11.295782797475	1	11.295782797475
Gene6	0.401944027068114	1	0.401944027068114
Gene7	233.305779927022	1	233.305779927022
Gene8	167.987806416964	1	167.987806416964
Gene9	68.0694169778955	1	68.0694169778955
Gene10	433.133010262847	1	433.133010262847
Gene11	151.422462209371	1	151.422462209371
Gene12	38.337053797929	1	38.337053797929
Gene13	15.0574385444213	1	15.0574385444213
Gene14	95.2175168405106	1	95.2175168405106
Gene15	61.7983433976947	1	61.7983433976947
Gene16	11.5447545398886	1	11.5447545398886
Gene17	32.8867125508995	1	32.8867125508995
Gene18	11.3290346371318	1	11.3290346371318
Gene19	34.8538854725665	1	34.8538854725665
Gene20	351.106434397273	1	351.106434397273
Gene21	215.923264348267	1	215.923264348267
Gene22	200.409990174131	1	200.409990174131
Gene23	217.693271665178	1	217.693271665178
Gene24	22.1574817522356	1	22.1574817522356
Gene25	9.90493869766391	1	9.90493869766391
Gene26	18.2271075566062	1	18.2271075566062
Gene27	5.81560223938049	1	5.81560223938049
Gene28	87.3038560556232	1	87.3038560556232
Gene29	97.9740184809948	1	97.9740184809948
Gene30	27.8343421188688	1	27.8343421188688
Gene31	160.808979397888	1	160.808979397888
Gene32	414.455228128091	1	414.455228128091
Gene33	231.622632331148	1	231.622632331148
Gene34	298.250194586127	1	298.250194586127
Gene35	7.15226999821896	1	7.15226999821896
Gene36	314.514073842825	1	314.514073842825
Gene37	106.922759073086	1	106.922759073086
Gene38	58.2744748548007	1	58.2744748548007
Gene39	16.6112942675168	1	16.6112942675168
Gene40	60.4535562531358	1	60.4535562531358
Gene41	0.00509377024494747	1	0.00509377024494747
Gene42	3.17364850634515	1	3.17364850634515
Gene43	4.75192308487984	1	4.75192308487984
Gene44	510.378731438484	1	510.378731438484
Gene45	347.304179958334	1	347.304179958334
Gene46	204.619800967787	1	204.619800967787
Gene47	58.0695331100934	1	58.0695331100934
Gene48	257.555854228327	1	257.555854228327
Gene49	8.20867759644086	1	8.20867759644086
Gene50	0.0135028343262252	1	0.0135028343262252
Gene51	116.036691303642	1	116.036691303642
Gene52	0.00799368030309936	1	0.00799368030309936
Gene53	166.282874473618	1	166.282874473618
Gene54	65.9394862218183	1	65.9394862218183
Gene55	0.168828572586322	1	0.168828572586322
Gene56	4.3885355274822	1	4.3885355274822
Gene57	15.1239485046475	1	15.1239485046475
Gene58	221.818012018172	1	221.818012018172
Gene59	447.986560447449	1	447.986560447449
Gene60	349.568064443843	1	349.568064443843
Gene61	378.09107928792	1	378.09107928792
Gene62	17.9843017848775	1	17.9843017848775
Gene63	37.8573536687852	1	37.8573536687852
Gene64	33.7745302361507	1	33.7745302361507
Gene65	2.30705602458761	1	2.30705602458761
Gene66	1.08862225842134	1	1.08862225842134
Gene67	19.0267632313257	1	19.0267632313257
Gene68	0.486180304994934	1	0.486180304994934
Gene69	415.912381213676	1	415.912381213676
Gene70	35.7143327762421	1	35.7143327762421
Gene71	0.153003493393652	1	0.153003493393652
Gene72	0.643527428669885	1	0.643527428669885
Gene73	17.7092211243861	1	17.7092211243861
Gene74	3.89573560191159	1	3.89573560191159
Gene75	419.365204089226	1	419.365204089226
Gene76	199.35841728026	1	199.35841728026
Gene77	58.4768552774318	1	58.4768552774318
Gene78	17.8114255387196	1	17.8114255387196
Gene79	86.6739130662824	1	86.6739130662824
Gene80	62.4277168329235	1	62.4277168329235
Gene81	160.189019303256	1	160.189019303256
Gene82	59.8203335751498	1	59.8203335751498
Gene83	577.948808386428	1	577.948808386428
Gene84	223.840864807795	1	223.840864807795
Gene85	216.344698618867	1	216.344698618867
Gene86	186.713333434789	1	186.713333434789
Gene87	0.868049525255362	1	0.868049525255362
Gene88	792.738393928105	1	792.738393928105
Gene89	66.4234595258505	1	66.4234595258505
Gene90	3.06137725025533	1	3.06137725025533
Gene91	411.584414811542	1	411.584414811542
Gene92	124.89718606769	1	124.89718606769
Gene93	1215.34188877423	1	1215.34188877423
Gene94	42.1473021405729	1	42.1473021405729
Gene95	12.0901584811253	1	12.0901584811253
Gene96	1.16212862509692	1	1.16212862509692
Gene97	52.9573312289332	1	52.9573312289332
Gene98	0.227938386818952	1	0.227938386818952
Gene99	4.75467367414349	1	4.75467367414349
Gene100	196.825532323606	1	196.825532323606
Gene101	96.3979156695508	1	96.3979156695508
Gene102	117.226981855225	1	117.226981855225
Gene103	49.6885471155738	1	49.6885471155738
Gene104	107.60825032577	1	107.60825032577
Gene105	1.99901550732306	1	1.99901550732306
Gene106	616.356373345416	1	616.356373345416
Gene107	137.07656314203	1	137.07656314203
Gene108	40.3518993908779	1	40.3518993908779
Gene109	17.2045687818786	1	17.2045687818786
Gene110	321.556053983347	1	321.556053983347
Gene111	2.93774771776003	1	2.93774771776003
Gene112	56.9494185310914	1	56.9494185310914
Gene113	14.0104141092698	1	14.0104141092698
Gene114	96.7265218454209	1	96.7265218454209
Gene115	84.0627258969962	1	84.0627258969962
Gene116	6.37270951533427	1	6.37270951533427
Gene117	113.876479527555	1	113.876479527555
Gene118	71.7662895218989	1	71.7662895218989
Gene119	82.140468465647	1	82.140468465647
Gene120	3.56594346538082	1	3.56594346538082
Gene121	0.725284868837535	1	0.725284868837535
Gene122	183.242775510569	1	183.242775510569
Gene123	227.701649113863	1	227.701649113863
Gene124	143.684469906589	1	143.684469906589
Gene125	4.71302280801218	1	4.71302280801218
Gene126	1.26054152463431	1	1.26054152463431
Gene127	0.910628152618794	1	0.910628152618794
Gene128	70.7930669190243	1	70.7930669190243
Gene129	317.957735051316	1	317.957735051316
Gene130	68.6759414961029	1	68.6759414961029
Gene131	773.384660081955	1	773.384660081955
Gene132	86.5392296586107	1	86.5392296586107
Gene133	6.9037734016878	1	6.9037734016878
Gene134	0.0519237471818102	1	0.0519237471818102
Gene135	18.4896568093949	1	18.4896568093949
Gene136	3.64955108952726	1	3.64955108952726
Gene137	2.92067255493154	1	2.92067255493154
Gene138	30.7391182144916	1	30.7391182144916
Gene139	109.706479961649	1	109.706479961649
Gene140	26.5010795651712	1	26.5010795651712
Gene141	77.0372342425029	1	77.0372342425029
Gene142	3.64349943097264	1	3.64349943097264
Gene143	6.72914322554277	1	6.72914322554277
Gene144	40.2260884627797	1	40.2260884627797
Gene145	0.359585623390148	1	0.359585623390148
Gene146	143.999208463109	1	143.999208463109
Gene147	24.4073523661748	1	24.4073523661748
Gene148	497.222188625071	1	497.222188625071
Gene149	163.258074087986	1	163.258074087986
Gene150	4.87581604160256	1	4.87581604160256
Gene151	1.59022032918956	1	1.59022032918956
Gene152	244.886692815613	1	244.886692815613
Gene153	6.01140490580103	1	6.01140490580103
Gene154	263.817105289011	1	263.817105289011
Gene155	36.0413519672735	1	36.0413519672735
Gene156	61.6953413213791	1	61.6953413213791
Gene157	188.129364154763	1	188.129364154763
Gene158	208.348306632768	1	208.348306632768
Gene159	0.176481450456328	1	0.176481450456328
Gene160	318.911644223338	1	318.911644223338
Gene161	19.1454806216915	1	19.1454806216915
Gene162	0.0956914401471916	1	0.0956914401471916
Gene163	21.8965930963969	1	21.8965930963969
Gene164	21.6270297508489	1	21.6270297508489
Gene165	93.3039191858004	1	93.3039191858004
Gene166	138.6116073842	1	138.6116073842
Gene167	167.963700724137	1	167.963700724137
Gene168	5.68723769523001	1	5.68723769523001
Gene169	3.90120509369482	1	3.90120509369482
Gene170	5.35985720602364	1	5.35985720602364
Gene171	462.94506646973	1	462.94506646973
Gene172	24.5924254086217	1	24.5924254086217
Gene173	28.7097747035072	1	28.7097747035072
Gene174	506.749778896201	1	506.749778896201
Gene175	18.6261629127597	1	18.6261629127597
Gene176	3.87449198372852	1	3.87449198372852
Gene177	96.7711125957766	1	96.7711125957766
Gene178	9.14572677016785	1	9.14572677016785
Gene179	76.7971294688594	1	76.7971294688594
Gene180	486.877885114102	1	486.877885114102
Gene181	140.329073069382	1	140.329073069382
Gene182	33.6440625771885	1	33.6440625771885
Gene183	0.210940505881964	1	0.210940505881964
Gene184	29.6354967320993	1	29.6354967320993
Gene185	20.5269190583086	1	20.5269190583086
Gene186	325.630414113891	1	325.630414113891
Gene187	20.425748976379	1	20.425748976379
Gene188	122.631056048896	1	122.631056048896
Gene189	344.48354057396	1	344.48354057396
Gene190	410.36922772466	1	410.36922772466
Gene191	284.940875520442	1	284.940875520442
Gene192	121.468536623248	1	121.468536623248
Gene193	81.2670395011021	1	81.2670395011021
Gene194	0.00362832789214785	1	0.00362832789214785
Gene195	9.80495401500057	1	9.80495401500057
Gene196	35.3531620619378	1	35.3531620619378
Gene197	158.083612925976	1	158.083612925976
Gene198	410.292038983763	1	410.292038983763
Gene199	18.9732735934705	1	18.9732735934705
Gene200	31.0154526052888	1	31.0154526052888
