Gene	BaseGeneMean	OutlierFactor	GeneMean
Gene1	1.11536903699195	117.305345302001	119.523865904634
Gene2	0.0150466165443231	1	0.0150466165443231
Gene3	0.190066570276404	1	0.190066570276404
Gene4	2.48868315937659	1	2.48868315937659
Gene5	1.5789170476865	1	1.5789170476865
Gene6	0.937158156054186	1	0.937158156054186
Gene7	0.0126331819248633	1	0.0126331819248633
Gene8	2.77138140288501	1	2.77138140288501
Gene9	5.64743890734719	1	5.64743890734719
Gene10	0.0435711531694407	1	0.0435711531694407
Gene11	0.85625793906073	1	0.85625793906073
Gene12	0.445623121727114	1	0.445623121727114
Gene13	1.61701975774386	1	1.61701975774386
Gene14	1.19540461254861	1	1.19540461254861
Gene15	0.370122053742865	1	0.370122053742865
Gene16	0.769242049589315	1	0.769242049589315
Gene17	0.365275210207914	1	0.365275210207914
Gene18	0.801115781331173	54.4513112576225	55.4811139111538
Gene19	4.82773474515197	1	4.82773474515197
Gene20	2.86556967823635	1	2.86556967823635
Gene21	2.72008487852532	1	2.72008487852532
Gene22	2.88196539438871	1	2.88196539438871
Gene23	0.583729661964403	1	0.583729661964403
Gene24	0.332543945325788	1	0.332543945325788
Gene25	0.509270134336429	1	0.509270134336429
Gene26	0.229211884745969	1	0.229211884745969
Gene27	1.52188069620567	1	1.52188069620567
Gene28	0.684603841202241	1	0.684603841202241
Gene29	2.33220611047227	1	2.33220611047227
Gene30	5.51695164862001	1	5.51695164862001
Gene31	3.00962738691745	1	3.00962738691745
Gene32	4.10720627099978	1	4.10720627099978
Gene33	0.264866742306237	1	0.264866742306237
Gene34	3.89807847503384	1	3.89807847503384
Gene35	4.4296202437285	1	4.4296202437285
Gene36	1.75349396162279	1	1.75349396162279
Gene37	1.14734904301929	1	1.14734904301929
Gene38	0.477281870576468	1	0.477281870576468
Gene39	1.17716547716656	1	1.17716547716656
Gene40	0.00167298663187647	1	0.00167298663187647
Gene41	0.150112519401907	1	0.150112519401907
Gene42	0.199035760113441	1	0.199035760113441
Gene43	6.56057215072964	1	6.56057215072964
Gene44	4.78636729557213	1	4.78636729557213
Gene45	1.14452769801685	1	1.14452769801685
Gene46	0.291634291816424	1	0.291634291816424
Gene47	0.00330652359529668	1	0.00330652359529668
Gene48	1.85665290970879	1	1.85665290970879
Gene49	0.00229224386023163	1	0.00229224386023163
Gene50	2.38740521344926	1	2.38740521344926
Gene51	3.88072539075553	1	3.88072539075553
Gene52	1.25083603501934	1	1.25083603501934
Gene53	0.0193203394297264	1	0.0193203394297264
Gene54	0.188272248939634	1	0.188272248939634
Gene55	0.446997775105132	1	0.446997775105132
Gene56	5.88176303127247	1	5.88176303127247
Gene57	4.81099771650078	1	4.81099771650078
Gene58	0.504519593064801	1	0.504519593064801
Gene59	0.848756303064251	1	0.848756303064251
Gene60	0.783696315639925	1	0.783696315639925
Gene61	0.120123222442225	1	0.120123222442225
Gene62	0.071068705614199	1	0.071068705614199
Gene63	0.524782814129122	1	0.524782814129122
Gene64	0.0404602253289015	1	0.0404602253289015
Gene65	5.53280506079062	1	5.53280506079062
Gene66	0.814886173871792	1	0.814886173871792
Gene67	0.0180361183735553	1	0.0180361183735553
Gene68	0.0492182243523307	1	0.0492182243523307
Gene69	0.499114183413683	1	0.499114183413683
Gene70	0.173234812709411	23.5331050373112	23.9781715279711
Gene71	5.57037079409602	53.2655941703607	54.2729721186903
Gene72	2.71010271777045	1	2.71010271777045
Gene73	1.15013219651198	1	1.15013219651198
Gene74	0.501125459859855	1	0.501125459859855
