Cell	Group	ExpLibSize
Cell1	Cell1	Group1	738922.232834277
Cell2	Cell2	Group1	236247.404345892
Cell3	Cell3	Group1	408083.065748161
Cell4	Cell4	Group1	478364.808246167
Cell5	Cell5	Group1	418094.149971658
Cell6	Cell6	Group1	309522.112091592
Cell7	Cell7	Group1	802715.184485589
Cell8	Cell8	Group1	311619.830358623
Cell9	Cell9	Group1	1082058.38844665
Cell10	Cell10	Group1	317539.750766606
Cell11	Cell11	Group1	710706.230967059
Cell12	Cell12	Group1	1267285.23009514
Cell13	Cell13	Group1	145380.996568939
Cell14	Cell14	Group1	279586.419278539
Cell15	Cell15	Group1	304602.49678252
Cell16	Cell16	Group1	479235.768376698
Cell17	Cell17	Group1	278687.882118854
Cell18	Cell18	Group1	68896.5538515662
Cell19	Cell19	Group1	78245.1593297031
Cell20	Cell20	Group1	717117.257241278
Cell21	Cell21	Group1	275036.783809897
Cell22	Cell22	Group1	115372.184888477
Cell23	Cell23	Group1	297754.811500628
Cell24	Cell24	Group1	673928.815420734
Cell25	Cell25	Group1	1006288.75982567
Cell26	Cell26	Group1	255687.281299792
Cell27	Cell27	Group1	283153.372779725
Cell28	Cell28	Group1	116612.081630108
Cell29	Cell29	Group1	432073.642288566
Cell30	Cell30	Group1	225996.971506469
Cell31	Cell31	Group1	430892.360433161
Cell32	Cell32	Group1	499084.098097149
Cell33	Cell33	Group1	606277.29229067
Cell34	Cell34	Group1	230171.420529373
Cell35	Cell35	Group1	443643.878714851
Cell36	Cell36	Group1	119826.261087493
Cell37	Cell37	Group1	207559.168974816
Cell38	Cell38	Group1	199591.140803618
Cell39	Cell39	Group1	79464.9900767756
Cell40	Cell40	Group1	336577.562925722
Cell41	Cell41	Group1	372003.822742352
Cell42	Cell42	Group1	266359.337261626
Cell43	Cell43	Group1	515011.583001598
Cell44	Cell44	Group1	214742.571672846
Cell45	Cell45	Group1	147154.274646982
Cell46	Cell46	Group1	425185.497579616
Cell47	Cell47	Group1	204291.783852522
Cell48	Cell48	Group1	771457.657305909
Cell49	Cell49	Group1	255540.149663304
Cell50	Cell50	Group1	484829.195897607
Cell51	Cell51	Group1	398296.855020797
Cell52	Cell52	Group1	207635.001586429
Cell53	Cell53	Group1	833658.649158383
Cell54	Cell54	Group1	481201.62026396
Cell55	Cell55	Group1	347382.779769993
Cell56	Cell56	Group1	387791.199304412
Cell57	Cell57	Group1	491628.694792719
Cell58	Cell58	Group1	347397.563735448
Cell59	Cell59	Group1	56502.8786739621
Cell60	Cell60	Group1	389699.382549434
Cell61	Cell61	Group1	265391.782540744
Cell62	Cell62	Group1	367480.218477405
Cell63	Cell63	Group1	464195.670372862
Cell64	Cell64	Group1	751556.425842327
Cell65	Cell65	Group1	214668.295616541
Cell66	Cell66	Group1	709732.612513178
Cell67	Cell67	Group1	401577.152557978
Cell68	Cell68	Group1	607493.787406107
Cell69	Cell69	Group1	566772.576212143
Cell70	Cell70	Group1	503822.696043845
Cell71	Cell71	Group1	178223.344600222
Cell72	Cell72	Group1	312441.993980584
Cell73	Cell73	Group1	475738.694016607
Cell74	Cell74	Group1	187882.936134587
Cell75	Cell75	Group1	239310.774387836
Cell76	Cell76	Group1	463969.509654223
Cell77	Cell77	Group1	518059.249000354
Cell78	Cell78	Group1	433008.868962302
Cell79	Cell79	Group1	195533.06677099
Cell80	Cell80	Group1	172372.430109967
Cell81	Cell81	Group1	803275.756946176
Cell82	Cell82	Group1	383558.576525758
Cell83	Cell83	Group1	347112.666180399
Cell84	Cell84	Group1	306840.233643416
Cell85	Cell85	Group1	163033.929180412
Cell86	Cell86	Group1	472520.654339235
Cell87	Cell87	Group1	289927.062632292
Cell88	Cell88	Group1	295859.537611097
Cell89	Cell89	Group1	571001.228790686
Cell90	Cell90	Group1	534676.854170809
Cell91	Cell91	Group1	748190.042137476
Cell92	Cell92	Group1	248894.727929763
Cell93	Cell93	Group1	483317.977625952
Cell94	Cell94	Group1	747746.7987212
Cell95	Cell95	Group1	171258.22833011
Cell96	Cell96	Group1	198432.231357602
Cell97	Cell97	Group1	169157.59650485
Cell98	Cell98	Group1	139478.725508563
Cell99	Cell99	Group1	345387.480624579
Cell100	Cell100	Group1	484131.779533754
Cell101	Cell101	Group1	668507.891810198
Cell102	Cell102	Group1	609732.861189523
Cell103	Cell103	Group1	182463.294787531
Cell104	Cell104	Group1	978975.031411229
Cell105	Cell105	Group1	222459.735013375
Cell106	Cell106	Group1	350621.613749818
Cell107	Cell107	Group1	256927.422232964
Cell108	Cell108	Group1	306577.583671538
Cell109	Cell109	Group1	368122.111560512
Cell110	Cell110	Group1	353451.853749999
Cell111	Cell111	Group1	324656.016012134
Cell112	Cell112	Group1	351150.56763459
Cell113	Cell113	Group1	247540.474801721
Cell114	Cell114	Group1	244816.638566979
Cell115	Cell115	Group1	123838.677178299
Cell116	Cell116	Group1	263041.588182616
Cell117	Cell117	Group1	243603.397699377
Cell118	Cell118	Group1	1618503.57312734
Cell119	Cell119	Group1	147689.673537135
Cell120	Cell120	Group1	357239.834531339
Cell121	Cell121	Group1	136679.696676811
Cell122	Cell122	Group1	138559.696304359
Cell123	Cell123	Group1	354607.584965537
Cell124	Cell124	Group1	183170.825153124
Cell125	Cell125	Group1	329137.219062596
Cell126	Cell126	Group1	256020.423102419
Cell127	Cell127	Group1	229528.88422092
Cell128	Cell128	Group1	99962.2021434476
Cell129	Cell129	Group1	160138.359535446
Cell130	Cell130	Group1	366245.270566242
Cell131	Cell131	Group1	460327.858086411
Cell132	Cell132	Group1	246457.578479636
Cell133	Cell133	Group1	329503.016093683
Cell134	Cell134	Group1	638456.197127312
Cell135	Cell135	Group1	769530.595399268
Cell136	Cell136	Group1	172643.479889977
Cell137	Cell137	Group1	307487.49837686
Cell138	Cell138	Group1	668717.843012075
Cell139	Cell139	Group1	249841.433106218
Cell140	Cell140	Group1	319461.960124133
Cell141	Cell141	Group1	313193.703808935
Cell142	Cell142	Group1	195314.014567356
Cell143	Cell143	Group1	253555.067404777
Cell144	Cell144	Group1	323824.665351539
Cell145	Cell145	Group1	258200.01057167
Cell146	Cell146	Group1	634891.6792314
Cell147	Cell147	Group1	248189.15033936
Cell148	Cell148	Group1	255280.924597497
Cell149	Cell149	Group1	496744.89769639
Cell150	Cell150	Group1	176837.657325987
Cell151	Cell151	Group1	321684.938964554
Cell152	Cell152	Group1	132094.707719357
Cell153	Cell153	Group1	655329.897943462
Cell154	Cell154	Group1	280434.802371642
Cell155	Cell155	Group1	250118.919188565
Cell156	Cell156	Group1	158869.424566397
Cell157	Cell157	Group1	327987.591355062
Cell158	Cell158	Group1	205633.380330494
Cell159	Cell159	Group1	240630.66013415
Cell160	Cell160	Group1	703543.552540648
Cell161	Cell161	Group1	297122.513939335
Cell162	Cell162	Group1	175239.149482037
Cell163	Cell163	Group1	362743.196493489
Cell164	Cell164	Group1	266095.675804827
Cell165	Cell165	Group1	466440.685978092
Cell166	Cell166	Group1	766167.936308776
Cell167	Cell167	Group1	183597.191374779
Cell168	Cell168	Group1	430689.378393008
Cell169	Cell169	Group1	346389.092650446
Cell170	Cell170	Group1	558432.849037162
Cell171	Cell171	Group1	287776.474479194
Cell172	Cell172	Group1	539373.587886475
Cell173	Cell173	Group1	117862.656259729
Cell174	Cell174	Group1	891427.61451676
Cell175	Cell175	Group1	548395.70538212
Cell176	Cell176	Group1	301486.410190149
Cell177	Cell177	Group1	140319.932118441
Cell178	Cell178	Group1	481232.632398868
Cell179	Cell179	Group1	437992.771878571
Cell180	Cell180	Group1	328259.450699594
Cell181	Cell181	Group1	360240.736427129
Cell182	Cell182	Group1	233561.283637618
Cell183	Cell183	Group1	409450.451109445
Cell184	Cell184	Group1	391949.12230264
Cell185	Cell185	Group1	279508.917866672
Cell186	Cell186	Group1	149958.586834938
Cell187	Cell187	Group1	497883.458628397
Cell188	Cell188	Group1	456701.856500997
Cell189	Cell189	Group1	201315.345601579
Cell190	Cell190	Group1	128787.263263142
Cell191	Cell191	Group1	371775.971346345
Cell192	Cell192	Group1	268876.982969403
Cell193	Cell193	Group1	382360.674740151
Cell194	Cell194	Group1	153736.441484357
Cell195	Cell195	Group1	187258.934984193
Cell196	Cell196	Group1	624648.072183866
Cell197	Cell197	Group1	417972.637142266
Cell198	Cell198	Group1	465472.798352035
Cell199	Cell199	Group1	959983.619962581
Cell200	Cell200	Group1	355469.108429777
Cell201	Cell201	Group1	101370.554456811
Cell202	Cell202	Group1	401087.527416769
Cell203	Cell203	Group1	656936.169375947
Cell204	Cell204	Group1	1108587.49513098
Cell205	Cell205	Group1	146412.303856773
