Cell	ExpLibSize
Cell1	78762.4539380512
Cell2	53479.8574495122
Cell3	64384.3379040931
Cell4	67953.0647101187
Cell5	64916.2764903244
Cell6	58616.7104854365
Cell7	81008.097637227
Cell8	58751.2784321793
Cell9	89651.4580563385
Cell10	59127.8412843886
Cell11	77728.2408827719
Cell12	94592.0845342976
Cell13	45352.8301203281
Cell14	56627.0602730538
Cell15	58298.7384239606
Cell16	67995.0426717006
Cell17	56565.2102726453
Cell18	35196.7460594054
Cell19	36750.4817825718
Cell20	77965.5755496601
Cell21	56312.5262885739
Cell22	41929.2231717295
Cell23	57850.4510134468
Cell24	76338.672728823
Cell25	87468.9097666398
Cell26	54935.0124451838
Cell27	56871.3013793669
Cell28	42081.6636888081
Cell29	65645.1808914828
Cell30	52680.5198988914
Cell31	65584.1955654917
Cell32	68938.319771702
Cell33	73645.675583322
Cell34	53008.8799601875
Cell35	66236.769924931
Cell36	42471.912929169
Cell37	51180.209255504
Cell38	50504.538431935
Cell39	36943.9977248555
Cell40	60308.2700284467
Cell41	62392.4603941208
Cell42	55702.9585492515
Cell43	69677.4940466128
Cell44	51774.8109346598
Cell45	45539.8839413855
Cell46	65288.0048331837
Cell47	50905.2512280638
Cell48	79923.1040749027
Cell49	54924.2784124218
Cell50	68263.4372655794
Cell51	63855.9505596564
Cell52	51186.5566859509
Cell53	82055.0386351683
Cell54	68089.6066224949
Cell55	60958.7161324845
Cell56	63279.0854218296
Cell57	68586.9637743094
Cell58	60959.5968701273
Cell59	32905.0685240492
Cell60	63384.6242125755
Cell61	55634.1817742832
Cell62	62133.8440967585
Cell63	67262.9433740296
Cell64	79217.0922264361
Cell65	51768.7305224532
Cell66	77692.0742313856
Cell67	64034.0097761951
Cell68	73695.8096522559
Cell69	71980.1534633308
Cell70	69159.8404325823
Cell71	48599.8737566992
Cell72	58803.8567473973
Cell73	67826.1866001257
Cell74	49478.5899360391
Cell75	53714.2837681371
Cell76	67251.8159138755
Cell77	69817.2049454567
Cell78	65693.3852125776
Cell79	50153.5581246862
Cell80	48052.2298538879
Cell81	81027.2990320151
Cell82	63043.7549617489
Cell83	60942.62006755
Cell84	58443.7885909132
Cell85	47152.1186341295
Cell86	67670.0778463816
Cell87	57329.5817762096
Cell88	57725.1745901568
Cell89	72162.0285166644
Cell90	70569.5919729746
Cell91	79096.4501848567
Cell92	54435.1419162465
Cell93	68191.1255964279
Cell94	79080.5388524376
Cell95	47946.5546189417
Cell96	50404.7896672486
Cell97	47746.0807415503
Cell98	44719.1544543323
Cell99	60839.6206196741
Cell100	68230.084477005
Cell101	76129.6491038927
Cell102	73787.913055066
Cell103	48989.3531402817
Cell104	86655.5531597183
Cell105	52399.1326791974
Cell106	61151.07755663
Cell107	55025.3255966302
Cell108	58426.7998800724
Cell109	62170.6689302258
Cell110	61318.2130762259
Cell111	59574.4154446022
Cell112	61182.3816542693
Cell113	54334.4070635126
Cell114	54130.6892996734
Cell115	42949.4956241306
Cell116	55466.4301530944
Cell117	54039.4680517887
Cell118	102783.303353231
Cell119	45596.0675462101
Cell120	61540.5289284613
Cell121	44412.4443159737
Cell122	44618.9016353783
Cell123	61386.2088436551
Cell124	49053.7626731678
Cell125	59852.3201992257
Cell126	54959.3018375851
Cell127	52958.5959483463
Cell128	39937.2372039789
Cell129	46866.124902258
Cell130	62062.8765613928
Cell131	67072.1455895955
Cell132	54253.5946094323
Cell133	59874.8947458213
Cell134	74950.1068147125
Cell135	79855.2698708141
Cell136	48077.869002663
Cell137	58485.6139708664
Cell138	76137.7653426344
Cell139	54505.3468885988
Cell140	59249.1138645048
Cell141	58851.8495470991
Cell142	50134.4761150838
Cell143	54779.0553931081
Cell144	59522.5805262171
Cell145	55117.7028943551
Cell146	74807.7826500374
Cell147	54382.7034863908
Cell148	54905.3566337329
Cell149	68828.4540899173
Cell150	48471.259680243
Cell151	59388.7625604673
Cell152	43900.9410709975
Cell153	75616.8113534845
Cell154	56685.3375756827
Cell155	54525.8911636491
Cell156	46739.7161165872
Cell157	59781.2648031468
Cell158	51018.4986419519
Cell159	53814.6779887676
Cell160	77461.4017325744
Cell161	57808.7152376132
Cell162	48322.0628519475
Cell163	61860.7627542406
Cell164	55684.2330584054
Cell165	67373.2079422264
Cell166	79736.6322211895
Cell167	49092.4973074589
Cell168	65573.7052200458
Cell169	60899.4615268771
Cell170	71618.816338914
Cell171	57184.8551503171
Cell172	70779.4379943563
Cell173	42234.3363907774
Cell174	83942.8747738918
Cell175	71179.1769247607
Cell176	58095.5763985535
Cell177	44810.5362082707
Cell178	68091.0963620984
Cell179	65949.1172399317
Cell180	59798.0825304067
Cell181	61715.5484262706
Cell182	53272.6425781751
Cell183	64457.4984304975
Cell184	63508.6164590487
Cell185	56621.7307110569
Cell186	45832.6807446787
Cell187	68881.9716897301
Cell188	66892.3121826016
Cell189	50652.2373492037
Cell190	43524.6345204713
Cell191	62379.4838672538
Cell192	55881.1506388555
Cell193	62976.8413814151
Cell194	46221.4616416242
Cell195	49422.739504676
Cell196	74395.8151113621
Cell197	64909.8706290223
Cell198	67325.7129529078
Cell199	86081.1460625615
Cell200	61436.8001590378
Cell201	40127.3791628899
Cell202	64007.4933759169
Cell203	75679.6837903978
Cell204	90391.7108880483
Cell205	45461.7994763102
Cell206	47563.8780135795
Cell207	51991.5103142914
Cell208	48493.6840942405
Cell209	52619.9842548996
Cell210	57694.9199676246
Cell211	47087.1580448338
Cell212	89984.6548759117
Cell213	61178.7355003019
Cell214	58875.3855489196
Cell215	66113.2148748026
Cell216	60323.8626872301
Cell217	58313.1201578501
Cell218	80447.2914783167
Cell219	57330.8388632349
Cell220	46317.7047588829
Cell221	64675.2309570655
Cell222	55809.3906424947
Cell223	53940.7111839016
Cell224	48357.36228221
Cell225	65229.8966668382
Cell226	57826.1487637258
Cell227	66378.8357352557
Cell228	57132.4162399186
Cell229	52485.8723796313
Cell230	76883.5578712738
Cell231	56706.6777969536
Cell232	72373.1316128108
Cell233	47083.7643190778
Cell234	54544.7519677059
Cell235	56734.0433279872
Cell236	55370.7590479936
Cell237	78412.7172024039
Cell238	59602.1579576039
Cell239	62871.3070081817
Cell240	49589.0666726178
Cell241	51748.8011511584
Cell242	73102.2029728278
Cell243	77010.4443786938
Cell244	76862.4498472577
Cell245	45427.4846714795
Cell246	90218.7123681373
Cell247	73377.6421954363
Cell248	59555.0579385474
Cell249	68921.3691175167
Cell250	49302.1492378919
Cell251	48087.0770543934
Cell252	60464.4029696114
Cell253	47112.8387925318
Cell254	62193.3773578395
Cell255	77616.9554150599
Cell256	48689.8201506856
Cell257	51653.4283623628
Cell258	60434.3413585805
Cell259	48848.5891622177
Cell260	55455.8899480882
Cell261	71292.8329941782
Cell262	72686.3583451459
Cell263	64651.6776120361
Cell264	41344.2596512329
Cell265	59231.018964
Cell266	74083.9836515125
Cell267	70448.6255448623
Cell268	57632.1992458943
Cell269	34892.0412679844
Cell270	60608.6758565752
Cell271	67154.4412830352
Cell272	60425.1516894993
Cell273	61789.1157902
Cell274	65271.6502386483
Cell275	55308.9518744374
Cell276	77807.6975225127
Cell277	65780.4973139238
Cell278	46698.4356802526
Cell279	78929.8759674953
Cell280	76182.8604122988
Cell281	70602.0734998544
Cell282	42936.3523216476
Cell283	53430.5912771278
Cell284	67989.1058651333
Cell285	60400.001062597
Cell286	64189.9837231151
Cell287	97921.2349775627
Cell288	50834.1644020209
Cell289	39236.3925710904
Cell290	63242.957371555
Cell291	52181.3605100383
Cell292	65460.8943557948
Cell293	50895.1572329881
Cell294	93191.4348842524
Cell295	58410.9590212287
Cell296	54422.4971982698
Cell297	57915.92689855
Cell298	71147.6572972676
Cell299	61051.1976602271
Cell300	43255.3693795212
Cell301	59818.8343738376
Cell302	69706.4710242004
Cell303	60342.8764680004
Cell304	69356.4500288468
Cell305	58145.5991799326
Cell306	59184.9480673012
Cell307	65938.2444760556
Cell308	73027.307633705
Cell309	46663.6561790536
Cell310	59474.4742349808
Cell311	59030.3834315114
Cell312	51442.2896629648
Cell313	48685.0912552161
Cell314	52778.205465567
Cell315	67330.0244046565
Cell316	55090.6598883067
Cell317	51175.8202174394
Cell318	61863.3539952558
Cell319	46754.0963331698
Cell320	73804.4830919778
Cell321	54343.5340502985
Cell322	62182.3055977644
Cell323	60488.0598273125
Cell324	59871.2598159541
Cell325	85980.5518590961
Cell326	50763.5780335146
Cell327	75289.3591042394
Cell328	60253.4214631492
Cell329	50663.3900467242
Cell330	59056.3451790128
Cell331	69518.9278335109
Cell332	54989.4294057812
Cell333	51307.0553535869
Cell334	61731.6979663638
Cell335	72963.8483247071
Cell336	59000.9210076733
Cell337	45369.4699286015
Cell338	46104.4530205181
Cell339	51344.9022059424
Cell340	53883.4346577845
Cell341	59618.1052921754
Cell342	68466.4836137995
Cell343	54889.4582790787
Cell344	47916.9241401848
Cell345	67603.9166509162
Cell346	63265.2442745165
Cell347	75468.4082491326
Cell348	42766.2204488106
Cell349	60928.9565544397
Cell350	78485.7515821767
Cell351	69205.4406162029
Cell352	50690.2789671385
Cell353	69321.1752282556
Cell354	50292.6703107013
Cell355	54683.6749976666
Cell356	75925.4225854419
Cell357	56498.5886762982
Cell358	70665.2508040155
Cell359	56486.3592196044
Cell360	43683.5779155588
Cell361	50525.6729135284
Cell362	48160.5754010987
Cell363	54346.8474233351
Cell364	55979.3279713351
Cell365	58065.5847283995
Cell366	57031.0168616328
Cell367	87416.5941746416
Cell368	45378.800813453
Cell369	55107.1714405832
Cell370	64203.7118908629
Cell371	82924.717172151
Cell372	60943.6154704339
Cell373	76713.2820866017
Cell374	43091.8383551086
Cell375	79959.1617406443
Cell376	52150.4435500503
Cell377	56653.7682823918
Cell378	47959.6949215909
Cell379	61498.8566943412
Cell380	85568.0983933901
Cell381	97190.9297777141
Cell382	48273.3158246765
Cell383	65985.362894063
Cell384	79039.6060124367
Cell385	57576.4343178716
Cell386	57317.716331667
Cell387	56333.4856506259
Cell388	67478.6509642826
Cell389	79180.5432956739
Cell390	68701.3378794067
Cell391	63833.767652002
Cell392	56366.2590596918
Cell393	66149.3098982552
Cell394	53642.2678946301
Cell395	56621.7632086027
Cell396	74555.7680395455
Cell397	65408.1807560714
Cell398	62830.9621488059
Cell399	56890.2054406403
Cell400	72128.6479213431
Cell401	78196.6836506831
Cell402	50319.3838781736
Cell403	60542.2889612223
Cell404	60464.6020460149
Cell405	53333.9759388029
Cell406	49033.1691150606
Cell407	59845.0166782777
Cell408	68261.580517293
Cell409	80448.1740772224
