Gene	BaseGeneMean	OutlierFactor	GeneMean
Gene1	112.347038330621	1	112.347038330621
Gene2	55.9642573267353	1	55.9642573267353
Gene3	0.118053876829526	1	0.118053876829526
Gene4	4.44850697746419	1	4.44850697746419
Gene5	176.468284679239	1	176.468284679239
Gene6	92.0233436937	1	92.0233436937
Gene7	43.6237969391379	1	43.6237969391379
Gene8	0.0919251795718077	1	0.0919251795718077
Gene9	205.840010557268	1	205.840010557268
Gene10	426.448855092278	1	426.448855092278
Gene11	0.540544949811706	1	0.540544949811706
Gene12	89.4946287041588	1	89.4946287041588
Gene13	38.337053797929	1	38.337053797929
Gene14	15.0574385444213	1	15.0574385444213
Gene15	95.2175168405106	1	95.2175168405106
Gene16	61.7983433976947	1	61.7983433976947
Gene17	11.5447545398886	1	11.5447545398886
Gene18	32.8867125508995	1	32.8867125508995
Gene19	11.3290346371318	1	11.3290346371318
Gene20	34.8538854725665	1	34.8538854725665
Gene21	351.106434397273	1	351.106434397273
Gene22	215.923264348267	1	215.923264348267
Gene23	200.409990174131	1	200.409990174131
Gene24	217.693271665178	1	217.693271665178
Gene25	22.1574817522356	1	22.1574817522356
Gene26	9.90493869766391	1	9.90493869766391
Gene27	18.2271075566062	1	18.2271075566062
Gene28	5.81560223938049	1	5.81560223938049
Gene29	87.3038560556232	1	87.3038560556232
Gene30	97.9740184809948	1	97.9740184809948
Gene31	27.8343421188688	1	27.8343421188688
Gene32	160.808979397888	1	160.808979397888
Gene33	414.455228128091	1	414.455228128091
Gene34	231.622632331148	1	231.622632331148
Gene35	298.250194586127	1	298.250194586127
Gene36	7.15226999821896	1	7.15226999821896
Gene37	314.514073842825	1	314.514073842825
Gene38	106.922759073086	1	106.922759073086
Gene39	58.2744748548007	1	58.2744748548007
Gene40	16.6112942675168	1	16.6112942675168
Gene41	60.4535562531358	1	60.4535562531358
Gene42	0.00509377024494747	1	0.00509377024494747
Gene43	3.17364850634515	1	3.17364850634515
Gene44	4.75192308487984	1	4.75192308487984
Gene45	510.378731438484	1	510.378731438484
Gene46	347.304179958334	1	347.304179958334
Gene47	204.619800967787	1	204.619800967787
Gene48	58.0695331100934	1	58.0695331100934
Gene49	257.555854228327	1	257.555854228327
Gene50	8.20867759644086	1	8.20867759644086
Gene51	0.0135028343262252	1	0.0135028343262252
Gene52	116.036691303642	1	116.036691303642
Gene53	0.00799368030309936	1	0.00799368030309936
Gene54	166.282874473618	1	166.282874473618
Gene55	65.9394862218183	1	65.9394862218183
Gene56	0.168828572586322	1	0.168828572586322
Gene57	4.3885355274822	1	4.3885355274822
Gene58	15.1239485046475	1	15.1239485046475
Gene59	221.818012018172	1	221.818012018172
Gene60	447.986560447449	1	447.986560447449
Gene61	349.568064443843	1	349.568064443843
Gene62	378.09107928792	1	378.09107928792
Gene63	17.9843017848775	1	17.9843017848775
Gene64	37.8573536687852	1	37.8573536687852
Gene65	33.7745302361507	1	33.7745302361507
Gene66	2.30705602458761	1	2.30705602458761
Gene67	1.08862225842134	1	1.08862225842134
Gene68	19.0267632313257	1	19.0267632313257
Gene69	0.486180304994934	1	0.486180304994934
Gene70	415.912381213676	1	415.912381213676
Gene71	35.7143327762421	1	35.7143327762421
Gene72	0.153003493393652	1	0.153003493393652
Gene73	0.643527428669885	1	0.643527428669885
Gene74	17.7092211243861	1	17.7092211243861
Gene75	3.89573560191159	1	3.89573560191159
Gene76	419.365204089226	1	419.365204089226
Gene77	199.35841728026	1	199.35841728026
Gene78	58.4768552774318	1	58.4768552774318
Gene79	17.8114255387196	1	17.8114255387196
Gene80	86.6739130662824	1	86.6739130662824
Gene81	62.4277168329235	1	62.4277168329235
Gene82	160.189019303256	1	160.189019303256
Gene83	59.8203335751498	1	59.8203335751498
Gene84	577.948808386428	1	577.948808386428
Gene85	223.840864807795	1	223.840864807795
Gene86	216.344698618867	1	216.344698618867
Gene87	186.713333434789	1	186.713333434789
Gene88	0.868049525255362	1	0.868049525255362
Gene89	792.738393928105	1	792.738393928105
Gene90	66.4234595258505	1	66.4234595258505
Gene91	3.06137725025533	1	3.06137725025533
Gene92	411.584414811542	1	411.584414811542
Gene93	124.89718606769	1	124.89718606769
Gene94	1215.34188877423	1	1215.34188877423
Gene95	42.1473021405729	1	42.1473021405729
Gene96	12.0901584811253	1	12.0901584811253
Gene97	1.16212862509692	1	1.16212862509692
Gene98	52.9573312289332	1	52.9573312289332
Gene99	0.227938386818952	1	0.227938386818952
Gene100	4.75467367414349	1	4.75467367414349
Gene101	196.825532323606	1	196.825532323606
Gene102	96.3979156695508	1	96.3979156695508
Gene103	117.226981855225	1	117.226981855225
Gene104	49.6885471155738	1	49.6885471155738
Gene105	107.60825032577	1	107.60825032577
Gene106	1.99901550732306	1	1.99901550732306
Gene107	616.356373345416	1	616.356373345416
Gene108	137.07656314203	1	137.07656314203
Gene109	40.3518993908779	1	40.3518993908779
Gene110	17.2045687818786	1	17.2045687818786
Gene111	321.556053983347	1	321.556053983347
Gene112	2.93774771776003	1	2.93774771776003
Gene113	56.9494185310914	1	56.9494185310914
Gene114	14.0104141092698	1	14.0104141092698
Gene115	96.7265218454209	1	96.7265218454209
Gene116	84.0627258969962	1	84.0627258969962
Gene117	6.37270951533427	1	6.37270951533427
Gene118	113.876479527555	1	113.876479527555
Gene119	71.7662895218989	1	71.7662895218989
Gene120	82.140468465647	1	82.140468465647
Gene121	3.56594346538082	1	3.56594346538082
Gene122	0.725284868837535	1	0.725284868837535
Gene123	183.242775510569	1	183.242775510569
Gene124	227.701649113863	1	227.701649113863
Gene125	143.684469906589	1	143.684469906589
Gene126	4.71302280801218	1	4.71302280801218
Gene127	1.26054152463431	1	1.26054152463431
Gene128	0.910628152618794	1	0.910628152618794
Gene129	70.7930669190243	1	70.7930669190243
Gene130	317.957735051316	1	317.957735051316
Gene131	68.6759414961029	1	68.6759414961029
Gene132	773.384660081955	1	773.384660081955
Gene133	86.5392296586107	1	86.5392296586107
Gene134	6.9037734016878	1	6.9037734016878
Gene135	0.0519237471818102	1	0.0519237471818102
Gene136	18.4896568093949	1	18.4896568093949
Gene137	3.64955108952726	1	3.64955108952726
Gene138	2.92067255493154	1	2.92067255493154
Gene139	30.7391182144916	1	30.7391182144916
Gene140	109.706479961649	1	109.706479961649
Gene141	26.5010795651712	1	26.5010795651712
Gene142	77.0372342425029	1	77.0372342425029
Gene143	3.64349943097264	1	3.64349943097264
Gene144	6.72914322554277	1	6.72914322554277
Gene145	40.2260884627797	1	40.2260884627797
Gene146	0.359585623390148	1	0.359585623390148
Gene147	143.999208463109	1	143.999208463109
Gene148	24.4073523661748	1	24.4073523661748
Gene149	497.222188625071	1	497.222188625071
Gene150	163.258074087986	1	163.258074087986
Gene151	4.87581604160256	1	4.87581604160256
Gene152	1.59022032918956	1	1.59022032918956
Gene153	244.886692815613	1	244.886692815613
Gene154	6.01140490580103	1	6.01140490580103
Gene155	263.817105289011	1	263.817105289011
Gene156	36.0413519672735	1	36.0413519672735
Gene157	61.6953413213791	1	61.6953413213791
Gene158	188.129364154763	1	188.129364154763
Gene159	208.348306632768	1	208.348306632768
Gene160	0.176481450456328	1	0.176481450456328
Gene161	318.911644223338	1	318.911644223338
Gene162	19.1454806216915	1	19.1454806216915
Gene163	0.0956914401471916	1	0.0956914401471916
