Gene	BaseGeneMean	OutlierFactor	GeneMean	DEFacGroup1	GeneMeanGroup1	DEFacGroup2	GeneMeanGroup2	DEFacGroup3	GeneMeanGroup3	DEFacGroup4	GeneMeanGroup4	DEFacGroup5	GeneMeanGroup5	DEFacGroup6	GeneMeanGroup6
Gene1	1.81519544590009	1	1.81519544590009	1	1.81519544590009	1	1.81519544590009	1	1.81519544590009	1	1.81519544590009	1	1.81519544590009	1	1.81519544590009
Gene2	1.11536903699195	1	1.11536903699195	1	1.11536903699195	1	1.11536903699195	1	1.11536903699195	1	1.11536903699195	1	1.11536903699195	1	1.11536903699195
Gene3	0.0150466165443231	1	0.0150466165443231	1	0.0150466165443231	1	0.0150466165443231	1.08575492652088	0.0163369380404693	1	0.0150466165443231	1	0.0150466165443231	1	0.0150466165443231
Gene4	0.190066570276404	1	0.190066570276404	1	0.190066570276404	1	0.190066570276404	1	0.190066570276404	1	0.190066570276404	1	0.190066570276404	1	0.190066570276404
Gene5	2.48868315937659	1	2.48868315937659	1	2.48868315937659	1	2.48868315937659	1	2.48868315937659	1	2.48868315937659	1	2.48868315937659	1	2.48868315937659
Gene6	1.5789170476865	1	1.5789170476865	1	1.5789170476865	1	1.5789170476865	1	1.5789170476865	1	1.5789170476865	1	1.5789170476865	0.580111696718403	0.915948247511027
Gene7	0.937158156054186	1	0.937158156054186	1	0.937158156054186	1.14618317470058	1.07415491050273	1	0.937158156054186	1	0.937158156054186	1	0.937158156054186	1.08169654550956	1.01372073999992
Gene8	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633	1	0.0126331819248633
Gene9	2.77138140288501	1	2.77138140288501	1	2.77138140288501	1	2.77138140288501	1	2.77138140288501	1	2.77138140288501	1	2.77138140288501	1	2.77138140288501
Gene10	5.64743890734719	95.3466065729292	102.105621971909	1	102.105621971909	1	102.105621971909	1	102.105621971909	1	102.105621971909	1	102.105621971909	1	102.105621971909
Gene11	0.0435711531694407	1	0.0435711531694407	1	0.0435711531694407	1	0.0435711531694407	1	0.0435711531694407	1	0.0435711531694407	1	0.0435711531694407	1.80653856329331	0.0787129684477541
Gene12	0.85625793906073	1	0.85625793906073	1	0.85625793906073	1	0.85625793906073	1	0.85625793906073	1	0.85625793906073	1	0.85625793906073	1.64817256317973	1.41126084216472
Gene13	0.445623121727114	1	0.445623121727114	1.54353322157063	0.687834092685813	1	0.445623121727114	1	0.445623121727114	1.42334521830489	0.634275539476384	1	0.445623121727114	1	0.445623121727114
Gene14	1.61701975774386	1	1.61701975774386	1	1.61701975774386	1	1.61701975774386	1	1.61701975774386	1	1.61701975774386	1	1.61701975774386	1	1.61701975774386
Gene15	1.19540461254861	12.0505161057209	12.9047638535096	1	12.9047638535096	1	12.9047638535096	1	12.9047638535096	1.28348844523924	16.5631152945206	1.21472020627423	15.6756774100555	1	12.9047638535096
Gene16	0.370122053742865	1	0.370122053742865	1	0.370122053742865	1	0.370122053742865	1.16535400119518	0.431323216259825	1	0.370122053742865	1	0.370122053742865	1	0.370122053742865
Gene17	0.769242049589315	71.4041069603844	76.46586506424	1	76.46586506424	1.088581195024	83.2393027701741	1	76.46586506424	1	76.46586506424	1	76.46586506424	1	76.46586506424
Gene18	0.365275210207914	1	0.365275210207914	1	0.365275210207914	1	0.365275210207914	1	0.365275210207914	1	0.365275210207914	0.976770774443917	0.356790149959948	1.41283541036674	0.516073751510895
Gene19	0.801115781331173	1	0.801115781331173	1	0.801115781331173	1	0.801115781331173	1	0.801115781331173	1	0.801115781331173	1	0.801115781331173	1	0.801115781331173
Gene20	4.82773474515197	1	4.82773474515197	1	4.82773474515197	1.08347720203126	5.23074053382638	1	4.82773474515197	1	4.82773474515197	1	4.82773474515197	1	4.82773474515197
Gene21	2.86556967823635	1	2.86556967823635	1	2.86556967823635	1	2.86556967823635	1	2.86556967823635	1.1393008866192	3.26474607508379	1	2.86556967823635	1	2.86556967823635
Gene22	2.72008487852532	1	2.72008487852532	1	2.72008487852532	1	2.72008487852532	1	2.72008487852532	1	2.72008487852532	1	2.72008487852532	1	2.72008487852532
Gene23	2.88196539438871	1	2.88196539438871	1.58382713822595	4.5645350030609	1	2.88196539438871	1	2.88196539438871	1	2.88196539438871	1	2.88196539438871	0.872031582891344	2.51316484470686
Gene24	0.583729661964403	1	0.583729661964403	1	0.583729661964403	1	0.583729661964403	1	0.583729661964403	1	0.583729661964403	1	0.583729661964403	1.02242842836726	0.596821800873615
Gene25	0.332543945325788	65.6454487202693	70.2989819158516	1	70.2989819158516	1	70.2989819158516	1	70.2989819158516	1	70.2989819158516	1	70.2989819158516	1	70.2989819158516
Gene26	0.509270134336429	1	0.509270134336429	1	0.509270134336429	1	0.509270134336429	1	0.509270134336429	1	0.509270134336429	1	0.509270134336429	1	0.509270134336429
Gene27	0.229211884745969	1	0.229211884745969	1	0.229211884745969	1	0.229211884745969	1	0.229211884745969	1	0.229211884745969	1	0.229211884745969	1	0.229211884745969
Gene28	1.52188069620567	1	1.52188069620567	1	1.52188069620567	1	1.52188069620567	1	1.52188069620567	1	1.52188069620567	1	1.52188069620567	1	1.52188069620567
Gene29	0.684603841202241	36.0406776836773	38.5955614305606	1	38.5955614305606	1	38.5955614305606	1	38.5955614305606	1	38.5955614305606	1	38.5955614305606	1	38.5955614305606
